File,param_CSP__log,param_CSP__n_components,param_CSP__norm_trace,param_CSP__reg,params,mean_test_score,std_test_score
D4SAI_S02_FI4S8ACH-epo.fif,False,2,True,,"{'CSP__log': False, 'CSP__n_components': 2, 'CSP__norm_trace': True, 'CSP__reg': None}",0.6041666666666666,0.10865337342004415
D4SAI_S02_FI4S8ACH-epo.fif,False,2,False,,"{'CSP__log': False, 'CSP__n_components': 2, 'CSP__norm_trace': False, 'CSP__reg': None}",0.5291666666666667,0.1318274334963031
D4SBI_S02_NF2S8ACH-epo.fif,True,2,True,,"{'CSP__log': True, 'CSP__n_components': 2, 'CSP__norm_trace': True, 'CSP__reg': None}",0.5541666666666667,0.11149240133549711
D4SBI_S02_NF2S8ACH-epo.fif,True,2,False,,"{'CSP__log': True, 'CSP__n_components': 2, 'CSP__norm_trace': False, 'CSP__reg': None}",0.5520833333333334,0.11420391728054786
D4SBI_S02_NF2S8ACH-epo.fif,False,2,True,,"{'CSP__log': False, 'CSP__n_components': 2, 'CSP__norm_trace': True, 'CSP__reg': None}",0.5416666666666666,0.1167410477176825
D4SBI_S02_NF2S8ACH-epo.fif,False,2,False,,"{'CSP__log': False, 'CSP__n_components': 2, 'CSP__norm_trace': False, 'CSP__reg': None}",0.5520833333333334,0.10954847354279089
D4SAI_S02_NF4S8ACH-epo.fif,True,2,True,,"{'CSP__log': True, 'CSP__n_components': 2, 'CSP__norm_trace': True, 'CSP__reg': None}",0.5,0.11410886614690961
D4SAI_S02_NF4S8ACH-epo.fif,True,2,False,,"{'CSP__log': True, 'CSP__n_components': 2, 'CSP__norm_trace': False, 'CSP__reg': None}",0.44166666666666665,0.13300741416260306
D4SAI_S02_NF4S8ACH-epo.fif,False,2,True,,"{'CSP__log': False, 'CSP__n_components': 2, 'CSP__norm_trace': True, 'CSP__reg': None}",0.4875,0.11110243021644486
D4SAI_S02_NF4S8ACH-epo.fif,False,2,False,,"{'CSP__log': False, 'CSP__n_components': 2, 'CSP__norm_trace': False, 'CSP__reg': None}",0.4625,0.12140668570277888
D4SAI_S01_NF4S8ACH-epo.fif,True,2,True,,"{'CSP__log': True, 'CSP__n_components': 2, 'CSP__norm_trace': True, 'CSP__reg': None}",0.5020833333333333,0.1157891102632521
D4SAI_S01_NF4S8ACH-epo.fif,True,2,False,,"{'CSP__log': True, 'CSP__n_components': 2, 'CSP__norm_trace': False, 'CSP__reg': None}",0.45625,0.12619223100756505
D4SAI_S01_NF4S8ACH-epo.fif,False,2,True,,"{'CSP__log': False, 'CSP__n_components': 2, 'CSP__norm_trace': True, 'CSP__reg': None}",0.49375,0.10250762166785453
D4SAI_S01_NF4S8ACH-epo.fif,False,2,False,,"{'CSP__log': False, 'CSP__n_components': 2, 'CSP__norm_trace': False, 'CSP__reg': None}",0.4666666666666667,0.08498365855987976
D4SAI_S02_FI2S8ACH-epo.fif,True,2,True,,"{'CSP__log': True, 'CSP__n_components': 2, 'CSP__norm_trace': True, 'CSP__reg': None}",0.56875,0.13341468872154472
D4SAI_S02_FI2S8ACH-epo.fif,True,2,False,,"{'CSP__log': True, 'CSP__n_components': 2, 'CSP__norm_trace': False, 'CSP__reg': None}",0.5729166666666666,0.13795694275952752
D4SAI_S02_FI2S8ACH-epo.fif,False,2,True,,"{'CSP__log': False, 'CSP__n_components': 2, 'CSP__norm_trace': True, 'CSP__reg': None}",0.58125,0.11427990126585398
D4SAI_S02_FI2S8ACH-epo.fif,False,2,False,,"{'CSP__log': False, 'CSP__n_components': 2, 'CSP__norm_trace': False, 'CSP__reg': None}",0.5541666666666667,0.14227809232469893
D4SBI_S02_FI4S8ACH-epo.fif,True,2,True,,"{'CSP__log': True, 'CSP__n_components': 2, 'CSP__norm_trace': True, 'CSP__reg': None}",0.6333333333333333,0.12576156893988807
D4SBI_S02_FI4S8ACH-epo.fif,True,2,False,,"{'CSP__log': True, 'CSP__n_components': 2, 'CSP__norm_trace': False, 'CSP__reg': None}",0.5875,0.1136515141415488
D4SBI_S02_FI4S8ACH-epo.fif,False,2,True,,"{'CSP__log': False, 'CSP__n_components': 2, 'CSP__norm_trace': True, 'CSP__reg': None}",0.6270833333333333,0.11690823205498499
D4SBI_S02_FI4S8ACH-epo.fif,False,2,False,,"{'CSP__log': False, 'CSP__n_components': 2, 'CSP__norm_trace': False, 'CSP__reg': None}",0.5625,0.11063265039459795
D4SAI_S03_FI2S8ACH-epo.fif,True,2,True,,"{'CSP__log': True, 'CSP__n_components': 2, 'CSP__norm_trace': True, 'CSP__reg': None}",0.6479166666666667,0.09197391689435049
D4SAI_S03_FI2S8ACH-epo.fif,True,2,False,,"{'CSP__log': True, 'CSP__n_components': 2, 'CSP__norm_trace': False, 'CSP__reg': None}",0.5708333333333333,0.0769424388025808
D4SAI_S03_FI2S8ACH-epo.fif,False,2,True,,"{'CSP__log': False, 'CSP__n_components': 2, 'CSP__norm_trace': True, 'CSP__reg': None}",0.64375,0.09430391914796897
D4SAI_S03_FI2S8ACH-epo.fif,False,2,False,,"{'CSP__log': False, 'CSP__n_components': 2, 'CSP__norm_trace': False, 'CSP__reg': None}",0.5854166666666667,0.08304638094997813
D4SAI_S03_NF4S8ACH-epo.fif,True,2,True,,"{'CSP__log': True, 'CSP__n_components': 2, 'CSP__norm_trace': True, 'CSP__reg': None}",0.4979166666666667,0.11690823205498499
D4SAI_S03_NF4S8ACH-epo.fif,True,2,False,,"{'CSP__log': True, 'CSP__n_components': 2, 'CSP__norm_trace': False, 'CSP__reg': None}",0.54375,0.12619223100756505
D4SAI_S03_NF4S8ACH-epo.fif,False,2,True,,"{'CSP__log': False, 'CSP__n_components': 2, 'CSP__norm_trace': True, 'CSP__reg': None}",0.49375,0.10625
D4SAI_S03_NF4S8ACH-epo.fif,False,2,False,,"{'CSP__log': False, 'CSP__n_components': 2, 'CSP__norm_trace': False, 'CSP__reg': None}",0.53125,0.09512875047359062
