File,param_LDA__solver,params,mean_test_score,std_test_score
D3S03I_S01_NF2S8ACH-epo.fif,eigen,{'LDA__solver': 'eigen'},0.6583333333333333,0.11031835245728105
D3S02I_S01_FI2S15CH-epo.fif,svd,{'LDA__solver': 'svd'},0.7755555555555558,0.09960415480451101
D3S02I_S01_FI2S15CH-epo.fif,lsqr,{'LDA__solver': 'lsqr'},0.7755555555555558,0.09960415480451101
D3S02I_S01_FI2S15CH-epo.fif,eigen,{'LDA__solver': 'eigen'},0.7755555555555558,0.09960415480451101
D3S08I_S01_NF4S8ACH-epo.fif,svd,{'LDA__solver': 'svd'},0.725,0.11703809920990117
D3S08I_S01_NF4S8ACH-epo.fif,lsqr,{'LDA__solver': 'lsqr'},0.725,0.11703809920990117
D3S08I_S01_NF4S8ACH-epo.fif,eigen,{'LDA__solver': 'eigen'},0.725,0.11703809920990117
D3S02I_S01_NF2S15CH-epo.fif,svd,{'LDA__solver': 'svd'},0.7755555555555558,0.099604154804511
D3S02I_S01_NF2S15CH-epo.fif,lsqr,{'LDA__solver': 'lsqr'},0.7755555555555558,0.099604154804511
D3S02I_S01_NF2S15CH-epo.fif,eigen,{'LDA__solver': 'eigen'},0.7755555555555558,0.099604154804511
D3S02I_S01_NF2S8ACH-epo.fif,svd,{'LDA__solver': 'svd'},0.7600000000000001,0.10270417785147862
D3S02I_S01_NF2S8ACH-epo.fif,lsqr,{'LDA__solver': 'lsqr'},0.7600000000000001,0.10270417785147862
D3S02I_S01_NF2S8ACH-epo.fif,eigen,{'LDA__solver': 'eigen'},0.7600000000000001,0.10270417785147862
D3S02I_S01_FI2S8BCH-epo.fif,svd,{'LDA__solver': 'svd'},0.717777777777778,0.11113333111155546
D3S02I_S01_FI2S8BCH-epo.fif,lsqr,{'LDA__solver': 'lsqr'},0.717777777777778,0.11113333111155546
D3S02I_S01_FI2S8BCH-epo.fif,eigen,{'LDA__solver': 'eigen'},0.717777777777778,0.11113333111155546
D3S12I_S01_NF4S8ACH-epo.fif,svd,{'LDA__solver': 'svd'},0.68125,0.11450755069717745
D3S12I_S01_NF4S8ACH-epo.fif,lsqr,{'LDA__solver': 'lsqr'},0.68125,0.11450755069717745
D3S12I_S01_NF4S8ACH-epo.fif,eigen,{'LDA__solver': 'eigen'},0.68125,0.11450755069717745
D3S08I_S01_FI4S8ACH-epo.fif,svd,{'LDA__solver': 'svd'},0.7041666666666667,0.11960583412006105
D3S08I_S01_FI4S8ACH-epo.fif,lsqr,{'LDA__solver': 'lsqr'},0.7041666666666667,0.11960583412006105
D3S08I_S01_FI4S8ACH-epo.fif,eigen,{'LDA__solver': 'eigen'},0.7041666666666667,0.11960583412006105
D3S07I_S01_NF4S8ACH-epo.fif,svd,{'LDA__solver': 'svd'},0.79375,0.08408515029421071
D3S07I_S01_NF4S8ACH-epo.fif,lsqr,{'LDA__solver': 'lsqr'},0.79375,0.08408515029421071
D3S07I_S01_NF4S8ACH-epo.fif,eigen,{'LDA__solver': 'eigen'},0.79375,0.08408515029421071
D3S07I_S01_NF2S8BCH-epo.fif,svd,{'LDA__solver': 'svd'},0.7770833333333333,0.10036824558704921
D3S07I_S01_NF2S8BCH-epo.fif,lsqr,{'LDA__solver': 'lsqr'},0.7770833333333333,0.10036824558704921
D3S07I_S01_NF2S8BCH-epo.fif,eigen,{'LDA__solver': 'eigen'},0.7770833333333333,0.10036824558704921
D3S09I_S01_FI4S15CH-epo.fif,svd,{'LDA__solver': 'svd'},0.83125,0.07930360962780951
D3S09I_S01_FI4S15CH-epo.fif,lsqr,{'LDA__solver': 'lsqr'},0.83125,0.07930360962780951
D3S09I_S01_FI4S15CH-epo.fif,eigen,{'LDA__solver': 'eigen'},0.83125,0.07930360962780951
D3S09I_S01_NF2S8BCH-epo.fif,svd,{'LDA__solver': 'svd'},0.7208333333333333,0.12047360245667467
D3S09I_S01_NF2S8BCH-epo.fif,lsqr,{'LDA__solver': 'lsqr'},0.7208333333333333,0.12047360245667467
D3S09I_S01_NF2S8BCH-epo.fif,eigen,{'LDA__solver': 'eigen'},0.7208333333333333,0.12047360245667467
D3S06I_S01_FI2S8BCH-epo.fif,svd,{'LDA__solver': 'svd'},0.64375,0.1084334473306092
D3S06I_S01_FI2S8BCH-epo.fif,lsqr,{'LDA__solver': 'lsqr'},0.64375,0.1084334473306092
D3S06I_S01_FI2S8BCH-epo.fif,eigen,{'LDA__solver': 'eigen'},0.64375,0.1084334473306092
